scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio,fixed_value,fixed_variable,scanned_variable
mu,0.0,0.0,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,0.9619968879668049,14.150663900414937,0.27928941908713695,4.06521265560166,0.049441786283891544,3.0803551933370787,0.0026012528776915727,586.1027465206844,0.6660902805405856,4982.3150304782675,0.0026012528776915727,84.67559395014366,0.6608980106962666,460.99448366055793,0.07835661544229872,0.07889946251331242,-29.122644405043253,42.74767077907743,-0.9596291512127298,0.0039052557193605163,0.005501381948824915,0.11763662934505821,0.020181909344149478,0.033197616602099383,0.1,egmIsoCut,muIsoCut
mu,0.01,0.01,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,2.0170902489626554,13.095570539419088,0.5275466804979253,3.8169553941908716,0.1036682615629984,0.7349991075823499,6.888045211378798,579.2173025621834,7.575493428312695,4975.405627330495,4.380019970837581,84.56223532186921,4.4296942588608745,460.9736744765562,0.8819093753927935,0.5377617355034038,0.8719652167880793,0.11279943017335456,1.3610378848719913,0.9092536712704912,0.7854780700930857,0.11641609668576042,0.020129669490547727,7.810377577980654,0.1,egmIsoCut,muIsoCut
mu,0.02,0.02,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,3.785923236514523,11.32673755186722,1.0550933609958506,3.289408713692946,0.19457735247208932,1.2717048612481967,7.685885822111703,578.4194619514504,124.52253875826028,4858.458582000548,4.430661808167453,84.55959705153383,116.02143341030045,446.1562257114252,14.824920013977684,14.04794090572679,-0.9288498888869163,2.1394073154222055,-0.48465668269747425,0.061722848720845366,0.06762627686502665,0.1190541098969865,0.02055352776701286,0.518443662081486,0.1,egmIsoCut,muIsoCut
mu,0.03,0.03,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,5.55475622406639,9.557904564315352,1.4585114107883816,2.885990663900415,0.2854864433811802,1.5667686315679026,10.846857007193565,575.2584907663685,248.72438916695123,4734.256731591857,5.385993995837893,84.50412585343344,164.18399934029483,430.76671773974255,30.222445642667427,20.622151367708703,-1.7862859833612723,2.351328530581295,-0.9090590880540699,0.043609945303405014,0.03602240094485932,0.12150977933402912,0.020996234320080517,0.358900703650541,0.1,egmIsoCut,muIsoCut
mu,0.04,0.04,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,7.354621369294605,7.758039419087137,2.1722510373443984,2.1722510373443984,0.37799043062200954,2.030909355542045,10.876018647718148,575.229329125844,300.15094461165,4682.8301761471575,5.3860729408594255,84.50412082172006,167.7638358594949,429.3851955172109,36.86993121913761,21.574212683833657,-2.3900209638637517,2.598713192311655,-1.168981497864819,0.03623516381662591,0.027059006918344237,0.12283796496739911,0.021272191221157026,0.29498342655092524,0.1,egmIsoCut,muIsoCut
mu,0.05,0.05,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,9.030357883817427,6.082302904564315,2.4515404564315353,1.8929616182572615,0.4641148325358852,2.4501046315988546,10.881067172006347,575.2242806015557,309.55518523453793,4673.425935524269,5.3860741249906114,84.50412074624661,167.92879757977258,429.3207072749423,38.10131179773219,21.69800741292309,-2.501615346678053,2.6421067499765263,-1.2175536608743864,0.03515065387698864,0.025813822327425705,0.12308406906143181,0.02132607751504555,0.2855824815106234,0.1,egmIsoCut,muIsoCut
mu,0.06,0.06,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,10.302676348547719,4.809984439834025,2.6377334024896264,1.7067686721991702,0.5295055821371611,2.48978223636649,14.007869981833222,572.0974777917288,320.66426991240286,4662.316850846405,6.195251046269678,84.44865352419667,168.1188648045048,429.2463139602827,39.3476518013802,21.73538651593525,-1.8089675198592001,1.9877106619982527,-1.1211764241822524,0.04368391272797499,0.0299633093480276,0.12270669199324565,0.02134735684488467,0.35600269242348703,0.1,egmIsoCut,muIsoCut
mu,0.07,0.07,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,11.047448132780083,4.06521265560166,2.9170228215767633,1.4274792531120333,0.5677830940988837,2.2190612156378053,21.360718986537915,564.7446287870241,328.7856438969745,4654.195476861833,9.614859541995001,84.12794240657398,168.28090334193098,429.1828145698155,39.89517142891842,21.582507969693175,-0.8676886042113752,1.3143893768645314,-0.7844501071562275,0.06496852701157271,0.04428224919485963,0.12134097753191328,0.021258726749182805,0.5354211605431122,0.1,egmIsoCut,muIsoCut
mu,0.08,0.08,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,11.699123443983403,3.4135373443983403,3.103215767634855,1.241286307053942,0.6012759170653906,2.2793698409642817,22.716704692046957,563.388643081515,518.9227586945647,4464.058362064244,9.660224245016382,84.12274534935317,209.65454907003152,410.56220089760654,65.4908975584849,28.844629145474418,-1.8829400410972923,1.7650103750210084,-1.406154045150406,0.0437766590719485,0.02567816256110094,0.12620548330398534,0.022132339985122033,0.34686812273049716,0.1,egmIsoCut,muIsoCut
mu,0.09,0.09,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.226670124481327,2.885990663900415,3.2583765560165974,1.0861255186721992,0.6283891547049443,2.2228060455858945,26.441177464198468,559.6641703093636,519.6523747568389,4463.328746001968,10.155113656556171,84.0644388799363,209.65559483656511,410.56166687279875,65.16007036857609,28.685065313394084,-1.4643407222240108,1.4396962723822984,-1.2724097278417608,0.050882433620304535,0.028342940186503383,0.12539165321637655,0.02208564025178827,0.40578804342344477,0.1,egmIsoCut,muIsoCut
